id,name,type_id,power,pp,accuracy,damage_class_id,effect_id,effect_chance
655,Black Hole Eclipse  Special,17,,1,,3,1,
656,Twinkle Tackle  Physical,18,,1,,2,1,
657,Twinkle Tackle  Special,18,,1,,3,1,
658,Catastropika,13,210,1,,2,1,
659,Shore Up,5,,10,,1,382,
660,First Impression,7,90,10,100,2,383,
661,Baneful Bunker,4,,10,,1,384,
662,Spirit Shackle,8,80,10,100,2,385,
663,Darkest Lariat,17,85,10,100,2,304,
664,Sparkling Aria,11,90,10,100,3,386,
665,Ice Hammer,15,100,10,90,2,219,100
666,Floral Healing,18,,10,,1,387,
667,High Horsepower,5,95,10,95,2,1,
668,Strength Sap,12,,10,100,1,388,100
669,Solar Blade,12,125,10,100,2,152,
670,Leafage,12,40,40,100,2,1,
671,Spotlight,1,,15,,1,389,
672,Toxic Thread,4,,20,100,1,390,100
673,Laser Focus,1,,30,,1,391,
674,Gear Up,9,,20,,1,392,
675,Throat Chop,17,80,15,100,2,393,100
676,Pollen Puff,7,90,15,100,3,394,
677,Anchor Shot,9,80,20,100,2,385,
678,Psychic Terrain,14,,10,,1,395,
679,Lunge,7,80,15,100,2,396,100
680,Fire Lash,10,80,15,100,2,397,100
681,Power Trip,17,20,10,100,2,306,
682,Burn Up,10,130,5,100,3,398,
683,Speed Swap,14,,10,,1,399,
684,Smart Strike,9,70,10,,2,18,
685,Purify,4,,20,,1,400,
686,Revelation Dance,1,90,15,100,3,401,
687,Core Enforcer,16,100,10,100,3,402,
688,Trop Kick,12,70,15,100,2,396,100
689,Instruct,14,,15,,1,403,
690,Beak Blast,3,100,15,100,2,404,
691,Clanging Scales,16,110,5,100,3,405,100
692,Dragon Hammer,16,90,15,100,2,1,
693,Brutal Swing,17,60,20,100,2,406,
694,Aurora Veil,15,,20,,1,407,
695,Sinister Arrow Raid,8,180,1,,2,1,
696,Malicious Moonsault,17,180,1,,2,1,
697,Oceanic Operetta,11,195,1,,3,1,
698,Guardian Of Alola,18,,1,,3,413,
699,Soul Stealing 7 Star Strike,8,195,1,,2,1,
700,Stoked Sparksurfer,13,175,1,,3,7,100
701,Pulverizing Pancake,1,210,1,,2,1,
702,Extreme Evoboost,1,,1,,1,414,100
703,Genesis Supernova,14,185,1,,3,415,
704,Shell Trap,10,150,5,100,3,408,
705,Fleur Cannon,18,130,5,90,3,205,100
706,Psychic Fangs,14,85,10,100,2,187,
707,Stomping Tantrum,5,75,10,100,2,409,
708,Shadow Bone,8,85,10,100,2,70,20
709,Accelerock,6,40,20,100,2,104,
710,Liquidation,11,85,10,100,2,70,20
711,Prismatic Laser,14,160,10,100,3,81,
712,Spectral Thief,8,90,10,100,2,410,
713,Sunsteel Strike,9,100,5,100,2,411,
714,Moongeist Beam,8,100,5,100,3,411,
715,Tearful Look,1,,20,,1,412,100
716,Zing Zap,13,80,10,100,2,32,30
717,Natures Madness,18,,10,90,3,41,
718,Multi Attack,1,90,10,100,2,269,
719,10 000 000 Volt Thunderbolt,13,195,1,,3,1,
720,Mind Blown,10,150,5,100,3,420,
721,Plasma Fists,13,100,15,100,2,1,
722,Photon Geyser,14,100,5,100,3,1,
723,Light That Burns The Sky,14,200,1,,3,416,
724,Searing Sunraze Smash,9,200,1,,2,411,
725,Menacing Moonraze Maelstrom,8,200,1,,3,411,
726,Lets Snuggle Forever,18,190,1,,2,417,
727,Splintered Stormshards,6,190,1,,2,418,
728,Clangorous Soulblaze,16,185,1,,3,419,100
